Source,CreationDate,Author,LastSaved,LastSavedBy,BarcodeFinal,LabelPrefix,Crop,FieldStrip,ID2.x,Col.Row2,Column,Row2,ShoudKeep,isResidue,TotalGrain.g..bag,TareBag.g.,TotalGrain.g.,Tota.Biomass.g..bag,TareBag.g..1,TotalBiomass.g.,protein,moisture,starch,gluten,testWeight,tareWtSampleBag.g.,NOTES,Notes2,Notes3,X,Y,ID2
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C7_67_27-C,CF14GPSWGrn,SW,C7,67,27-C,27,C,0,"",788,20,768,,,,12.6,6.9,67.2,28.4,55.1,,MOISTURE OUTSIDE LIMITS,"","",-117.078286,46.779271,67
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A1_68_3-D,GPHY14,GB,A1,68,3-D,3,D,0,"",364,20,344,,,,,,,,,,"","","",-117.088231,46.779439000000004,68
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A2_69_4-D,GPHY14,GB,A2,69,4-D,4,D,0,"",322,20,302,,,,,,,,,,"","","",-117.087813,46.779414,69
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A2_70_5-D,GPHY14,GB,A2,70,5-D,5,D,0,"",250,20,230,,,,,,,,,,"","","",-117.087395,46.779587,70
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A3_71_6-D,GPHY14,GB,A3,71,6-D,6,D,0,"",243,20,223,,,,,,,,,,"","","",-117.086977,46.779564,71
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A4_72_7-D,GPHY14,GB,A4,72,7-D,7,D,0,"",449,20,429,,,,,,,,,,"","","",-117.086559,46.779649,72
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A4_73_8-D,GPHY14,GB,A4,73,8-D,8,D,0,"",371,25,346,,,,,,,,,,MOUSE DAMAGE TO ORIGINAL BAG,"","",-117.08617246,46.77963697,73
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_A6_74_9-D,CF14GPSWGrn,SW,A6,74,9-D,9,D,0,"",1225,20,1205,,,,9.1,7.4,74.6,21.5,61.5,,"",STARCH OUTSIDE LIMITS,"",-117.08569155,46.77950963,74
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_A6_75_10-D,CF14GPSWGrn,SW,A6,75,10-D,10,D,0,"",1011,20,991,,,,8.7,8,76.3,20.8,60.1,,"",STARCH OUTSIDE LIMITS,"",-117.085305,46.779642,75
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_75_11-D,CF14GPWW,WW,"",75,11-D,11,D,0,"",1352,20,1332,,,,10.1,9,72.6,26.4,47.1,,"","","",-117.084887,46.77949,76
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_76_12-D,CF14GPWW,WW,"",76,12-D,12,D,0,"",1138,19,1119,,,,11.5,9.3,72.4,30.6,56.3,,"","","",-117.084469,46.779579,77
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_77_13-D,CF14GPWW,WW,"",77,13-D,13,D,0,"",887,20,867,,,,12,8.8,68.8,32.1,48.8,,"","","",-117.084051,46.779532,78
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_78_14-D,CF14GPWW,WW,"",78,14-D,14,D,0,"",826,19,807,,,,11.4,9.1,71.5,30.5,51.9,,"","","",-117.083633,46.779595,79
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_79_15-D,CF14GPWW,WW,"",79,15-D,15,D,0,"",813,19,794,,,,12.1,9,67,31.7,44.1,,"","","",-117.083215,46.779516,80
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_80_16-D,CF14GPWW,WW,"",80,16-D,16,D,0,"",1084,20,1064,,,,9.1,8.1,72.6,22.7,34.6,,Starch outside limits,"","",-117.082797,46.779585,81
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_81_17-D,CF14GPWW,WW,"",81,17-D,17,D,0,"",1010,20,990,,,,10.1,8.2,74.6,26.6,55.6,,Starch outside limits,"","",-117.082379,46.779622,82
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C1_83_18-D,CF14GPSWGrn,SW,C1,83,18-D,18,D,0,"",637,20,617,,,,11.7,7.3,71.3,27.7,57.3,,"","","",-117.081961,46.779424,83
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C1_84_19-D,CF14GPSWGrn,SW,C1,84,19-D,19,D,0,"",777,20,757,,,,11.6,6.5,71.7,26.5,55.8,,MOISTURE OUTSIDE LIMITS,"","",-117.081543,46.779563,84
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_C2_85_20-D,GPHY14,GB,C2,85,20-D,20,D,0,"",461,20,441,,,,,,,,,,"","","",-117.081125,46.779565,85
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\GPHY14SB.xlsx,41964.45069,Covered Storage,41964.48472,Covered Storage,GPHY14_SB_C3_86_21-D,GPHY14,SB,C3,86,21-D,21,D,0,"",1130,31,1099,,,,12.6,10.8,62.5,,53.1,,"","","",-117.080707,46.779421,86
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\GPHY14SB.xlsx,41964.45069,Covered Storage,41964.48472,Covered Storage,GPHY14_SB_C3_87_22-D,GPHY14,SB,C3,87,22-D,22,D,0,"",882,31,851,,,,11.5,11.5,62.9,,51.8,,"","","",-117.080289,46.779684,87
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_87_23-D,CF14GPWW,WW,"",87,23-D,23,D,0,"",918,19,899,,,,12.3,7.9,71.2,33.5,59.4,,"","","",-117.079871,46.779655,88
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C5_89_24-D,CF14GPSWGrn,SW,C5,89,24-D,24,D,0,"",814,20,794,,,,11.5,6.8,71.4,24.9,56.8,,MOISTURE OUTSIDE LIMITS,"","",-117.07944702,46.77960671,89
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C5_90_25-D,CF14GPSWGrn,SW,C5,90,25-D,25,D,0,"",871,20,851,,,,8.8,6.7,75.4,20.2,60.3,,MOISTURE OUTSIDE LIMITS,STARCH OUTSIDE LIMITS,ORIGINAL SAMPLE BAG RIPPED,-117.079035,46.77954,90
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C6_91_26-D,CF14GPSWGrn,SW,C6,91,26-D,26,D,0,"",777,20,757,,,,11.4,6.7,70,24.2,57.6,,MOISTURE OUTSIDE LIMITS,"","",-117.078617,46.779552,91
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C7_92_27-D,CF14GPSWGrn,SW,C7,92,27-D,27,D,0,"",959,20,939,,,,10.7,6.9,72.2,24,60.2,,MOISTURE OUTSIDE LIMITS,"","",-117.078199,46.779557,92
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C8_93_28-D,CF14GPSWGrn,SW,C8,93,28-D,28,D,0,"",493,20,473,,,,13.4,6.2,64.3,32.2,44,,MOISTURE OUTSIDE LIMITS,"","",-117.077781,46.779494,93
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C8_94_29-D,CF14GPSWGrn,SW,C8,94,29-D,29,D,0,"",425,20,405,,,,12.2,6.6,69.2,27.3,54.5,,MOISTURE OUTSIDE LIMITS,"","",-117.077363,46.779658,94
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A1_95_3-E,GPHY14,GB,A1,95,3-E,3,E,0,"",244,20,224,,,,,,,,,,"","","",-117.08807304,46.77971682,95
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A1_96_4-E,GPHY14,GB,A1,96,4-E,4,E,0,"",296,20,276,,,,,,,,,,"","","",-117.087663,46.7797,96
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A2_97_5-E,GPHY14,GB,A2,97,5-E,5,E,0,"",180,20,160,,,,,,,,,,"","","",-117.087245,46.779873,97
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A3_98_6-E,GPHY14,GB,A3,98,6-E,6,E,0,"",291,20,271,,,,,,,,,,"","","",-117.086827,46.77985,98
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A3_99_7-E,GPHY14,GB,A3,99,7-E,7,E,0,"",285,20,265,,,,,,,,,,"","","",-117.086409,46.779935,99
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A4_100_8-E,GPHY14,GB,A4,100,8-E,8,E,0,"",234,20,214,,,,,,,,,,"","","",-117.085991,46.779905,100
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_A5_101_9-E,CF14GPSWGrn,SW,A5,101,9-E,9,E,0,"",840,20,820,,,,10.1,6.8,73.9,23.8,56.4,,MOISTURE OUTSIDE LIMITS,STARCH OUTSIDE LIMITS,"",-117.085573,46.77981,101
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,GP14GPSWGrn_A6_102_10-E,GP14GPSWGrn,SW,A6,102,10-E,10,E,0,"",837,20,817,,,,9.4,6.9,75.6,22,59,,MOISTURE OUTSIDE LIMITS,STARCH OUTSIDE LIMITS,"",-117.085155,46.779928,102
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_102_11-E,CF14GPWW,WW,"",102,11-E,11,E,0,"",838,20,818,,,,11.3,8.9,67.3,30,45.6,,"","","",-117.084737,46.779776,103
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_103_12-E,CF14GPWW,WW,"",103,12-E,12,E,0,"",833,20,813,,,,10.2,8.7,66.3,26.2,40.3,,"","","",-117.08434522,46.77988297,104
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_104_13-E,CF14GPWW,WW,"",104,13-E,13,E,0,"",911,19,892,,,,12.2,9.2,67.1,33.1,42.2,,"","","",-117.083901,46.779818,105
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_105_14-E,CF14GPWW,WW,"",105,14-E,14,E,0,"",605,20,585,,,,10,9,66.3,25.2,41.4,,"","","",-117.083483,46.779881,106
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_106_15-E,CF14GPWW,WW,"",106,15-E,15,E,0,"",880,19,861,,,,10.7,8.8,69,28,45.2,,"","","",-117.083065,46.779802,107
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_107_16-E,CF14GPWW,WW,"",107,16-E,16,E,0,"",889,19,870,,,,10.3,8.6,73.5,27.5,52.8,,"","","",-117.082647,46.779871,108
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_108_17-E,CF14GPWW,WW,"",108,17-E,17,E,0,"",1515,19,1496,,,,10.8,8.1,73.6,29.1,57.8,,"","","",-117.08219348,46.77987977,109
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C1_110_18-E,CF14GPSWGrn,SW,C1,110,18-E,18,E,0,"",587,20,567,,,,11.6,5.9,71.9,24.6,56.6,,MOISTURE OUTSIDE LIMITS,"","",-117.08175331,46.77967045,110
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C1_111_19-E,CF14GPSWGrn,SW,C1,111,19-E,19,E,0,"",684,20,664,,,,11.1,6.2,71,26,52.3,,MOISTURE OUTSIDE LIMITS,STARCH OUTSIDE LIMITS,"",-117.081393,46.779849,111
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_C2_112_20-E,GPHY14,GB,C2,112,20-E,20,E,0,"",393,20,373,,,,,,,,,,"","","",-117.080975,46.779851,112
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\GPHY14SB.xlsx,41964.45069,Covered Storage,41964.50208,Covered Storage,GPHY14_SB_C3_113_21-E,GPHY14,SB,C3,113,21-E,21,E,0,"",637,31,606,,,,12.5,11.5,60.9,,46.4,,"","","",-117.08053909,46.77969063,113
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\GPHY14SB.xlsx,41964.45069,Covered Storage,41964.50208,Covered Storage,GPHY14_SB_C3_114_22-E,GPHY14,SB,C3,114,22-E,22,E,0,"",455,31,424,,,,14.1,12.2,59.7,,44.6,,"","","",-117.080139,46.77997,114
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_114_23-E,CF14GPWW,WW,"",114,23-E,23,E,0,"",675,19,656,,,,10.6,8.5,72.1,29,57.9,,"","","",-117.07970309,46.77992463,115
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_115_24-E,CF14GPWW,WW,"",115,24-E,24,E,0,"",890,19,871,,,,12.7,8,70.1,34.6,56.9,,"","","",-117.079303,46.779905,116
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C5_117_25-E,CF14GPSWGrn,SW,C5,117,25-E,25,E,0,"",773,20,753,,,,11.5,6.8,68.4,25.9,55.5,,MOISTURE OUTSIDE LIMITS,"","",-117.078885,46.779826,117
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C6_118_26-E,CF14GPSWGrn,SW,C6,118,26-E,26,E,0,"",550,20,530,,,,9,7.4,76.8,20.8,59.9,,"",STARCH OUTSIDE LIMITS,"",-117.078467,46.779838,118
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,GP14GPSWGrn_C7_119_27-E,GP14GPSWGrn,SW,C7,119,27-E,27,E,0,"",851,20,831,,,,12.1,6.8,69.4,26,57.6,,MOISTURE OUTSIDE LIMITS,"","",-117.07801916,46.77982663,119
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C7_120_28-E,CF14GPSWGrn,SW,C7,120,28-E,28,E,0,"",635,20,615,,,,11.8,6.2,68.4,25.1,52.9,,MOISTURE OUTSIDE LIMITS,"","",-117.077631,46.77978,120
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C8_121_29-E,CF14GPSWGrn,SW,C8,121,29-E,29,E,0,"",227,20,207,,,,15.2,5.7,61.9,37.3,,,MOISTURE OUTSIDE LIMITS,SAMPLE TOO SMALL TO GIVE TEST WT,"",-117.077213,46.779944,121
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A1_122_4-F,GPHY14,GB,A1,122,4-F,4,F,0,"",508,20,488,,,,,,,,,,"","","",-117.087699,46.779986,122
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A1_123_5-F,GPHY14,GB,A1,123,5-F,5,F,0,"",375,20,355,,,,,,,,,,"","","",-117.087281,46.780159,123
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A2_124_6-F,GPHY14,GB,A2,124,6-F,6,F,0,"",202,20,182,,,,,,,,,,"","","",-117.086863,46.780136,124
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A3_125_7-F,GPHY14,GB,A3,125,7-F,7,F,0,"",302,20,282,,,,,,,,,,"","","",-117.086445,46.780221,125
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A4_126_8-F,GPHY14,GB,A4,126,8-F,8,F,0,"",482,20,462,,,,,,,,,,"","","",-117.08601127,46.78018382,126
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_A5_127_9-F,CF14GPSWGrn,SW,A5,127,9-F,9,F,0,"",719,20,699,,,,13.3,6.4,64.9,31.6,50.7,,MOISTURE OUTSIDE LIMITS,"","",-117.08559328,46.78008882,127
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_A5_128_10-F,CF14GPSWGrn,SW,A5,128,10-F,10,F,0,"",596,20,576,,,,12.9,7,64.2,30.5,50.8,,MOISTURE OUTSIDE LIMITS,"","",-117.085191,46.780214,128
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_A6_129_11-F,CF14GPSWGrn,SW,A6,129,11-F,11,F,0,"",876,20,856,,,,9.2,6.8,74.6,21.3,58.7,,MOISTURE OUTSIDE LIMITS,"","",-117.084773,46.780062,129
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_129_12-F,CF14GPWW,WW,"",129,12-F,12,F,0,"",986,20,966,,,,11.6,8.8,71.3,31.1,50.8,,"","","",-117.084355,46.780151,130
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_130_13-F,CF14GPWW,WW,"",130,13-F,13,F,0,"",1245,20,1225,,,,11.9,8.8,69.5,32,44.2,,"","","",-117.083937,46.780104,131
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_131_14-F,CF14GPWW,WW,"",131,14-F,14,F,0,"",1048,19,1029,,,,11,9.1,72.1,29.7,54.6,,"","","",-117.083519,46.780167,132
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_132_15-F,CF14GPWW,WW,"",132,15-F,15,F,0,"",1098,20,1078,,,,11.4,8.5,67.4,29.9,43.3,,"","","",-117.083101,46.780088,133
